Wall time,Step,Value
1713821421.14126,0,0.0010000000474974513
1713821423.043854,1,0.0010000000474974513
1713821424.937864,2,0.0010000000474974513
1713821426.754181,3,0.0010000000474974513
1713821428.597525,4,0.0010000000474974513
1713821430.520255,5,0.0010000000474974513
1713821432.419453,6,0.0010000000474974513
1713821434.494193,7,0.0010000000474974513
1713821436.409903,8,0.0010000000474974513
1713821438.31198,9,0.0010000000474974513
1713821440.225484,10,0.0010000000474974513
1713821442.140956,11,0.0010000000474974513
1713821444.006497,12,0.0010000000474974513
1713821445.891496,13,0.0010000000474974513
1713821447.770654,14,0.0010000000474974513
1713821449.621547,15,0.0010000000474974513
1713821451.482006,16,0.0010000000474974513
1713821453.357193,17,0.0010000000474974513
1713821455.228147,18,0.0010000000474974513
1713821457.12387,19,0.0010000000474974513
1713821459.166851,20,0.0010000000474974513
1713821461.061261,21,0.0005000000237487257
1713821462.913723,22,0.0005000000237487257
1713821464.827143,23,0.0005000000237487257
1713821466.712081,24,0.0005000000237487257
1713821468.62088,25,0.0005000000237487257
1713821470.519213,26,0.0005000000237487257
1713821472.448686,27,0.0005000000237487257
1713821474.418063,28,0.0005000000237487257
1713821476.340335,29,0.0005000000237487257
1713821478.17788,30,0.0005000000237487257
1713821480.053638,31,0.0005000000237487257
1713821481.938753,32,0.0005000000237487257
1713821483.850074,33,0.0005000000237487257
1713821485.691525,34,0.0005000000237487257
1713821487.572094,35,0.0005000000237487257
1713821489.601039,36,0.0005000000237487257
1713821491.468438,37,0.0005000000237487257
1713821493.39968,38,0.0005000000237487257
1713821495.282245,39,0.0005000000237487257
1713821497.182243,40,0.0005000000237487257
1713821498.996555,41,0.0002500000118743628
1713821500.896708,42,0.0002500000118743628
1713821502.738609,43,0.0002500000118743628
1713821504.807982,44,0.0002500000118743628
1713821506.704648,45,0.0002500000118743628
1713821508.602328,46,0.0002500000118743628
1713821510.512867,47,0.0002500000118743628
1713821512.388185,48,0.0002500000118743628
1713821514.284591,49,0.0002500000118743628
1713821516.2144,50,0.0002500000118743628
1713821518.138329,51,0.0002500000118743628
