Wall time,Step,Value
1713821421.140521,0,0.35037878155708313
1713821423.042547,1,0.3693181872367859
1713821424.937175,2,0.39962121844291687
1713821426.753462,3,0.4166666567325592
1713821428.596754,4,0.40340909361839294
1713821430.519569,5,0.40340909361839294
1713821432.418679,6,0.407196968793869
1713821434.493416,7,0.405303031206131
1713821436.409184,8,0.41477271914482117
1713821438.311271,9,0.4015151560306549
1713821440.224238,10,0.407196968793869
1713821442.140242,11,0.42992424964904785
1713821444.005815,12,0.4375
1713821445.890735,13,0.45643940567970276
1713821447.769479,14,0.47159090638160706
1713821449.62043,15,0.4962121248245239
1713821451.480596,16,0.5473484992980957
1713821453.356502,17,0.5852272510528564
1713821455.227292,18,0.5833333134651184
1713821457.123182,19,0.626893937587738
1713821459.166189,20,0.6761363744735718
1713821461.060522,21,0.7083333134651184
1713821462.912438,22,0.7670454382896423
1713821464.826354,23,0.8125
1713821466.709194,24,0.8428030014038086
1713821468.618486,25,0.8598484992980957
1713821470.517677,26,0.876893937587738
1713821472.447239,27,0.9166666865348816
1713821474.416729,28,0.9261363744735718
1713821476.339653,29,0.9450757503509521
1713821478.17718,30,0.9507575631141663
1713821480.052895,31,0.9602272510528564
1713821481.938089,32,0.9753788113594055
1713821483.849387,33,0.9867424368858337
1713821485.690654,34,0.9943181872367859
1713821487.571344,35,0.9962121248245239
1713821489.600363,36,0.998106062412262
1713821491.467694,37,1.0
1713821493.398935,38,1.0
1713821495.281295,39,1.0
1713821497.181433,40,1.0
1713821498.994551,41,1.0
1713821500.895868,42,1.0
1713821502.737939,43,1.0
1713821504.806495,44,1.0
1713821506.703935,45,1.0
1713821508.601556,46,1.0
1713821510.511892,47,1.0
1713821512.387388,48,1.0
1713821514.283893,49,1.0
1713821516.213695,50,1.0
1713821518.137615,51,1.0
