Wall time,Step,Value
1713821421.140864,0,1.5130282640457153
1713821423.043262,1,1.5230305194854736
1713821424.937535,2,1.4987722635269165
1713821426.753862,3,1.4927414655685425
1713821428.597146,4,1.4770981073379517
1713821430.519929,5,1.4606287479400635
1713821432.419102,6,1.4454936981201172
1713821434.49384,7,1.4303112030029297
1713821436.40955,8,1.4253789186477661
1713821438.311654,9,1.4012869596481323
1713821440.225018,10,1.3614469766616821
1713821442.140642,11,1.3215901851654053
1713821444.006182,12,1.2900480031967163
1713821445.891135,13,1.2663623094558716
1713821447.769993,14,1.2300267219543457
1713821449.621229,15,1.1913288831710815
1713821451.481582,16,1.14180326461792
1713821453.356871,17,1.0867019891738892
1713821455.227727,18,1.0434622764587402
1713821457.12354,19,0.9957584142684937
1713821459.166544,20,0.9271798133850098
1713821461.060871,21,0.8650197982788086
1713821462.913352,22,0.8008919954299927
1713821464.826753,23,0.7313070893287659
1713821466.711187,24,0.6744357943534851
1713821468.620005,25,0.6225220561027527
1713821470.518891,26,0.5703803300857544
1713821472.447931,27,0.5195662975311279
1713821474.417255,28,0.4691675007343292
1713821476.340018,29,0.4204395115375519
1713821478.177545,30,0.3779062330722809
1713821480.05327,31,0.3339221179485321
1713821481.938437,32,0.2962072193622589
1713821483.849759,33,0.2539381980895996
1713821485.691209,34,0.22212201356887817
1713821487.571766,35,0.18885168433189392
1713821489.600724,36,0.16190120577812195
1713821491.46812,37,0.1360854208469391
1713821493.399365,38,0.11860445141792297
1713821495.28192,39,0.0989072248339653
1713821497.181927,40,0.08317252993583679
1713821498.995489,41,0.07138720154762268
1713821500.896329,42,0.056047163903713226
1713821502.738306,43,0.046054571866989136
1713821504.807307,44,0.04123537242412567
1713821506.704327,45,0.03737669065594673
1713821508.602019,46,0.034148208796978
1713821510.512554,47,0.030951814725995064
1713821512.387871,48,0.028180569410324097
1713821514.284275,49,0.025454504415392876
1713821516.214088,50,0.023110702633857727
1713821518.138018,51,0.020833009853959084
