Wall time,Step,Value
1713821978.922649,0,1.4158602952957153
1713822012.009966,1,1.4184166193008423
1713822045.202575,2,1.4466081857681274
1713822078.28092,3,1.463651418685913
1713822111.341175,4,1.443897008895874
1713822144.300462,5,1.4553731679916382
1713822177.47024,6,1.4781321287155151
1713822210.386281,7,1.4645373821258545
1713822243.346156,8,1.3882945775985718
1713822276.335921,9,1.4514871835708618
1713822309.230292,10,1.3896875381469727
1713822342.062923,11,1.4486130475997925
1713822374.938801,12,1.4391473531723022
1713822407.713394,13,1.4700003862380981
1713822440.355183,14,1.4484295845031738
1713822473.146873,15,1.4842175245285034
1713822505.843594,16,1.4453957080841064
1713822538.455196,17,1.441611409187317
1713822571.059953,18,1.4688606262207031
1713822603.659044,19,1.478295922279358
1713822636.244085,20,1.468572974205017
1713822668.900769,21,1.4746752977371216
1713822701.462201,22,1.4624725580215454
1713822734.089084,23,1.4513965845108032
1713822766.695528,24,1.4523195028305054
1713822799.266747,25,1.4354429244995117
1713822831.790727,26,1.4490821361541748
1713822864.284094,27,1.451904058456421
1713822896.910729,28,1.4463131427764893
1713822929.495181,29,1.4401196241378784
1713822962.0468,30,1.4458222389221191
1713822994.529215,31,1.43397855758667
1713823027.174768,32,1.446978211402893
1713823059.75289,33,1.4433685541152954
1713823092.331846,34,1.4380810260772705
1713823124.950012,35,1.438803791999817
1713823157.647562,36,1.4333487749099731
1713823190.19457,37,1.4400960206985474
1713823222.728456,38,1.4321238994598389
1713823255.280473,39,1.4219268560409546
1713823287.826305,40,1.4340050220489502
1713823320.421864,41,1.432758092880249
1713823352.929729,42,1.411442756652832
1713823385.470459,43,1.4043145179748535
1713823418.140811,44,1.3990559577941895
1713823450.740806,45,1.3951988220214844
1713823483.507514,46,1.3906779289245605
1713823516.255523,47,1.3882189989089966
1713823548.842954,48,1.3879780769348145
1713823581.512189,49,1.3808997869491577
1713823614.120688,50,1.3785114288330078
1713823646.739689,51,1.3741066455841064
